; Generated by g3DTZ v2.1 - by guard3
;	A	B	C	D	E	F	G	H	I	J	K
waterjump1,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
wglasssmash,	9999.0,	99999.0,	0.99,	0.1,	50.0,	125.0,	1.0,	0,	4,	0,	0,	0
waterjumpx2,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
esc_step,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
washgaspump,	350.0,	500.0,	0.99,	0.05,	50.0,	120.0,	1.0,	0,	0,	0,	0,	0
dk_waretankdoor1,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	4,	1,	0,	0
dk_camjonesdoor,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	4,	1,	0,	0
dk_paynspraydoor,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	4,	1,	0,	0
dks_sh_grg,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
haiwshpnsdoor,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	4,	1,	0,	0
dr_htn_grgdrA,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
Haitin_sh_grg,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
dt_gspot_stairs,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	4,	1,	0,	0
me_bombdoor,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
golf_gatesclosed,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	4,	0,	0,	0
golf_gatesopen,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	4,	0,	0,	0
ci_jetygatesopen,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	4,	1,	0,	0
ci_jetygatesclosed,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	4,	1,	0,	0
comgate2open,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	4,	0,	0,	0
comgate1open,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	4,	0,	0,	0
comgate1closed,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	4,	0,	0,	0
comgate2closed,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	4,	0,	0,	0
dr_diaz_grg,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
svegrgedoor,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	4,	1,	0,	0
wshpnsdoor,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	4,	1,	0,	0
pm_gardoorwna,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
pm_fairlights_dum,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
pm_gardrsafe4,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
nbecpnsdoor,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	4,	1,	0,	0
wh_prop09,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
wh_prop04,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
wh_prop13,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
wh_debris,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
dr_bigskipjump,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
pm_destwin,	9999.0,	99999.0,	0.99,	0.1,	50.0,	125.0,	1.0,	0,	4,	0,	0,	0
LOD_fltanks_dest,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
pm_fairbwseat,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
ndc_golfball,	1250.0,	2500.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
ndc_boatrampNarrow,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
ndc_buoyRightArrow,	1250.0,	2500.0,	0.99,	0.05,	35.75,	0.0,	1.0,	0,	0,	0,	0,	0
ndc_buoyLeftArrow,	1250.0,	2500.0,	0.99,	0.05,	35.75,	0.0,	1.0,	0,	0,	0,	0,	0
ndc_boatrampHump,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
ndc_navalmine,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
ndc_ammobox,	50.0,	50.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
jm_umb4_exit02,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
jm_umb4_exit01,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
jm_umb4_exit03,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
jm_umb4_shut,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
gd_dildo,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
ndc_buoyTarget,	1250.0,	2500.0,	0.99,	0.05,	35.75,	0.0,	1.0,	0,	0,	0,	0,	0
pinata_man,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
pm_hotgateleft,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	4,	0,	0,	0
sjl_crate,	900.0,	900.0,	0.99,	0.05,	50.0,	0.0,	1.0,	1,	0,	0,	0,	0
sjl_bobohand_04,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
sjl_bobohand_02,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
sjl_bobohand_03,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
sjl_bobohand_01,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
ca_sp_sportsbag,	50.0,	50.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
me_boomshine_dr,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
ndc_drugspillbig,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
ndc_drugspill,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
ndc_drugstack,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
ndc_drugpile,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
ndc_drugsopen,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
gd_rocket,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
gd_camhelicopter,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
gd_camtruckbase,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
gd_camtrucktop,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
pm_wallholed,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	1,	0,	0,	7,	7
pm_wallwhole,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	1,	0,	0,	7,	7
pm_wallplastpile,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	1,	0,	0,	7,	7
pm_gardoorwslux,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
gd_cratePile,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
jm_heligate,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	4,	0,	0,	0
jm_carpoundgate,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	4,	0,	0,	0
ndc_boatrampWide,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
TestRamp2,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
TestRamp1,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
TestRamp3,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
TestRamp4,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
TestRamp5,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
ndc_drugpacket,	20.0,	20.0,	0.99,	0.03,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
pm_node_walls,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	1,	0,	0,	7,	7
jm_dks_bhdoor,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
ndc_boomstack,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
me_policeantennee,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
me_mainrigrope,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
ndc_helibucket,	100.0,	1000.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
pmdivide_door,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
pm_elevdoor,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
ndc_helirescuerig,	100.0,	1000.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
eb_pros_2_A_n,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
eb_prot_1_A_n,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
eb_prot_2_A_n,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
eb_prot_3_A_n,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
eb_smug_3_A_n,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
eb_smug_2_A_n,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
eb_loan_1_A_n,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
eb_loan_2_A_n,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
eb_loan_3_A_n,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
eb_drug_1_A_n,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
eb_drug_2_A_n,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
eb_rob_2_A_n,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
eb_rob_3_A_n,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
eb_rob_1_A_n,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
eb_drug_3_A_n,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
sjl_bobohand_05,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
ndc_redballoon,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	8,	8
gd_briefcase_red,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
gd_briefcase_blue,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
gd_briefcase_brown,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
pmoffidoor,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
dr_lifesaver,	250.0,	150.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
eb_pros_1_A_n,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
eb_pros_3_A_n,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
gd_safedoor,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
ndc_kockwheel,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
me_liftdoor,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
mplaycrate,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
mplaycrate_doorB,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
mplaycrate_doorA,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
megaDamage,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
regenerator,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
invisible,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
bad_car,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
good_car,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
ed_blockdocks,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
ed_blockgolf,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
ed_blockprawn,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
gd_helimagnet,	100.0,	1000.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
ndc_impoundSignA,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
ndc_impoundSignB,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
ndc_impoundSignD,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
