# Generated by g3DTZ v2.1 - by guard3
#	A	B	C	D	E	F	G	H	I	J	K	L	M	N	P	R	S	T	U	V	W	X	Y	Z	a	b
SeaMine	PROJECTILE	30.0	100	1	1	75	0.25	-1.0	800.0	1.0	0.0	0.0	0.0	grenade	0	99	10	0	99	6	99	369	-1	2424	2
TearGas	PROJECTILE	30.0	100	1	1	75	0.25	-1.0	800.0	1.0	0.0	0.0	0.0	grenade	0	99	10	0	99	6	99	343	-1	2424	2
Molotov	PROJECTILE	25.0	100	1	1	75	0.25	-1.0	2000.0	5.0	0.0	0.0	0.0	grenade	0	99	10	0	99	6	99	344	-1	2424	2
Rocket	PROJECTILE	30.0	100	1	1	75	0.25	-1.0	800.0	1.0	0.0	0.0	0.0	unarmed	0	99	10	0	99	6	99	345	-1	2424	2
Colt45	INSTANT_HIT	30.0	210	450	17	25	-1.0	-1.0	-1.0	-1.0	0.3	0.0	0.09	colt45	11	18	14	11	18	12	99	346	-1	680C0	3
Python	INSTANT_HIT	30.0	629	1000	6	135	-1.0	-1.0	-1.0	-1.0	0.41	0.03	0.12	python	10	31	14	14	37	16	40	347	-1	28040	3
Shotgun	INSTANT_HIT	40.0	250	450	1	80	-1.0	-1.0	-1.0	-1.0	0.86	-0.02	0.28	shotgun	12	34	15	9	26	13	30	349	-1	20040	4
Spas12Shotgun	INSTANT_HIT	30.0	250	900	7	100	-1.0	-1.0	-1.0	-1.0	0.85	-0.06	0.19	buddy	12	22	15	9	30	13	32	350	-1	28040	4
StubbyShotgun	INSTANT_HIT	15.0	250	300	1	120	-1.0	-1.0	-1.0	-1.0	0.55	-0.02	0.13	buddy	12	30	13	9	30	13	32	351	-1	28040	4
Tec9	INSTANT_HIT	30.0	119	500	50	20	-1.0	-1.0	-1.0	-1.0	0.45	-0.05	0.11	uzi	11	15	14	11	15	12	99	353	-1	280C0	5
Uzi	INSTANT_HIT	45.0	59	500	30	20	-1.0	-1.0	-1.0	-1.0	0.45	0.0	0.12	uzi	12	14	12	11	13	12	25	354	-1	28840	5
SilencedIngram	INSTANT_HIT	30.0	59	500	30	15	-1.0	-1.0	-1.0	-1.0	0.36	0.02	0.11	uzi	11	13	13	11	13	11	99	355	-1	280C0	5
Mp5	INSTANT_HIT	45.0	89	500	30	35	-1.0	-1.0	-1.0	-1.0	0.51	-0.01	0.2	uzi	11	14	11	11	14	12	30	356	-1	28840	5
m4	INSTANT_HIT	90.0	89	1000	30	40	-1.0	-1.0	-1.0	-1.0	0.88	-0.04	0.16	rifle	12	15	13	14	17	15	99	352	-1	28050	6
Ruger	INSTANT_HIT	90.0	89	1000	30	35	-1.0	-1.0	-1.0	-1.0	1.0	-0.06	0.17	rifle	12	15	13	11	16	13	99	348	-1	28040	6
SniperRifle	INSTANT_HIT	100.0	149	1401	1	125	-1.0	-1.0	-1.0	-1.0	0.0	0.66	0.05	sniper	12	17	13	11	16	13	99	357	-1	28040	8
LaserScope	INSTANT_HIT	100.0	149	1401	7	125	-1.0	-1.0	-1.0	-1.0	0.0	0.66	0.05	sniper	12	17	13	11	16	13	99	358	-1	28040	8
RocketLauncher	PROJECTILE	55.0	209	1200	1	75	2.0	-1.0	1000.0	1.0	0.37	0.0	0.05	rocketla	10	17	11	0	99	14	99	359	-1	8134	7
FlameThrower	AREA_EFFECT	15.1	100	100	500	25	0.65	1.2	1000.0	5.0	1.2	0.0	0.5	flame	12	13	13	12	13	13	25	360	-1	5E	7
M60	INSTANT_HIT	75.0	89	500	100	130	-1.0	-1.0	-1.0	-1.0	1.0	0.0	0.23	m60	12	15	13	10	12	10	30	361	-1	8040	7
Minigun	INSTANT_HIT	75.0	29	350	500	100	-1.0	-1.0	-1.0	-1.0	1.28	0.0	0.5	flame	11	12	12	11	12	11	35	362	366	240	7
Detonator	PROJECTILE	25.0	300	1	1	0	2.0	-1.0	2000.0	5.0	0.0	0.0	0.13	man	0	10	3	0	10	3	99	363	-1	200024	9
HeliCannon	INSTANT_HIT	100.0	120	100	150	100	-1.0	-1.0	-1.0	-1.0	1.0	0.0	0.23	m60	12	16	13	10	14	12	30	361	-1	8040	7
Camera	CAMERA	100.0	300	1401	36	0	-1.0	-1.0	-1.0	-1.0	0.0	0.66	0.05	unarmed	0	10	3	0	10	3	25	364	-1	100	9
Binoculars	CAMERA	100.0	300	1401	1000	0	-1.0	-1.0	-1.0	-1.0	0.0	0.66	0.05	unarmed	0	10	3	0	10	3	25	367	-1	100	9
ENDWEAPONDATA
