; 
;	A	B	C	D	E	F	G	H	I	J	K
KEYCARD,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
PIZZABOX,	10.0,	10.0,	0.99,	0.03,	50.0,	0.05,	2.0,	3,	2,	0,	0,	2
TAR_GUN1,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	5.0,	3,	0,	0,	0,	2
TAR_CIV1,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	5.0,	3,	0,	0,	0,	2
PLC_STINGER,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
WATERJUMP1,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
WGLASSSMASH,	9999.0,	99999.0,	0.99,	0.1,	50.0,	125.0,	1.0,	0,	4,	0,	0,	0
WATERJUMPX2,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
ESC_STEP,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
WASHGASPUMP,	350.0,	500.0,	0.99,	0.05,	50.0,	120.0,	1.0,	0,	0,	0,	0,	0
DK_WARETANKDOOR1,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	4,	1,	0,	0
DK_CAMJONESDOOR,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	4,	1,	0,	0
DK_PAYNSPRAYDOOR,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	4,	1,	0,	0
DKS_SH_GRG,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
HAIWSHPNSDOOR,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	4,	1,	0,	0
DR_HTN_GRGDRA,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
HAITIN_SH_GRG,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
DT_GSPOT_STAIRS,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	4,	1,	0,	0
ME_BOMBDOOR,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
GOLF_GATESCLOSED,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	4,	0,	0,	0
GOLF_GATESOPEN,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	4,	0,	0,	0
CI_JETYGATESOPEN,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	4,	1,	0,	0
CI_JETYGATESCLOSED,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	4,	1,	0,	0
COMGATE2OPEN,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	4,	0,	0,	0
COMGATE1OPEN,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	4,	0,	0,	0
COMGATE1CLOSED,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	4,	0,	0,	0
COMGATE2CLOSED,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	4,	0,	0,	0
DR_DIAZ_GRG,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
SVEGRGEDOOR,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	4,	1,	0,	0
WSHPNSDOOR,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	4,	1,	0,	0
PM_GARDOORWNA,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
PM_FAIRLIGHTS_DUM,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
PM_GARDRSAFE4,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
NBECPNSDOOR,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	4,	1,	0,	0
WH_PROP09,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
WH_PROP04,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
WH_PROP13,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
WH_DEBRIS,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
DR_BIGSKIPJUMP,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
PM_DESTWIN,	9999.0,	99999.0,	0.99,	0.1,	50.0,	125.0,	1.0,	0,	4,	0,	0,	0
LOD_FLTANKS_DEST,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
PM_FAIRBWSEAT,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
NDC_GOLFBALL,	1250.0,	2500.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
NDC_BOATRAMPNARROW,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
NDC_BUOYRIGHTARROW,	1250.0,	2500.0,	0.99,	0.05,	35.75,	0.0,	1.0,	0,	0,	0,	0,	0
NDC_BUOYLEFTARROW,	1250.0,	2500.0,	0.99,	0.05,	35.75,	0.0,	1.0,	0,	0,	0,	0,	0
NDC_BOATRAMPHUMP,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
NDC_NAVALMINE,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
NDC_AMMOBOX,	50.0,	50.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
JM_UMB4_EXIT02,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
JM_UMB4_EXIT01,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
JM_UMB4_EXIT03,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
JM_UMB4_SHUT,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
GD_DILDO,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
NDC_BUOYTARGET,	1250.0,	2500.0,	0.99,	0.05,	35.75,	0.0,	1.0,	0,	0,	0,	0,	0
PINATA_MAN,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
PM_HOTGATELEFT,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	4,	0,	0,	0
SJL_CRATE,	900.0,	900.0,	0.99,	0.05,	50.0,	0.0,	1.0,	1,	0,	0,	0,	0
SJL_BOBOHAND_04,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
SJL_BOBOHAND_02,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
SJL_BOBOHAND_03,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
SJL_BOBOHAND_01,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
CA_SP_SPORTSBAG,	50.0,	50.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
ME_BOOMSHINE_DR,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
NDC_DRUGSPILLBIG,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
NDC_DRUGSPILL,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
NDC_DRUGSTACK,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
NDC_DRUGPILE,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
NDC_DRUGSOPEN,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
GD_ROCKET,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
GD_CAMHELICOPTER,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
GD_CAMTRUCKBASE,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
GD_CAMTRUCKTOP,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
PM_WALLHOLED,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	1,	0,	0,	7,	7
PM_WALLWHOLE,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	1,	0,	0,	7,	7
PM_WALLPLASTPILE,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	1,	0,	0,	7,	7
PM_GARDOORWSLUX,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
GD_CRATEPILE,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
JM_HELIGATE,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	4,	0,	0,	0
JM_CARPOUNDGATE,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	4,	0,	0,	0
NDC_BOATRAMPWIDE,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
TESTRAMP2,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
TESTRAMP1,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
TESTRAMP3,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
TESTRAMP4,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
TESTRAMP5,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
NDC_DRUGPACKET,	20.0,	20.0,	0.99,	0.03,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
PM_NODE_WALLS,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	1,	0,	0,	7,	7
JM_DKS_BHDOOR,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
NDC_BOOMSTACK,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
ME_POLICEANTENNEE,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
ME_MAINRIGROPE,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
NDC_HELIBUCKET,	100.0,	1000.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
PMDIVIDE_DOOR,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
PM_ELEVDOOR,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
NDC_HELIRESCUERIG,	100.0,	1000.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
EB_PROS_2_A_N,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
EB_PROT_1_A_N,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
EB_PROT_2_A_N,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
EB_PROT_3_A_N,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
EB_SMUG_3_A_N,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
EB_SMUG_2_A_N,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
EB_LOAN_1_A_N,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
EB_LOAN_2_A_N,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
EB_LOAN_3_A_N,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
EB_DRUG_1_A_N,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
EB_DRUG_2_A_N,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
EB_ROB_2_A_N,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
EB_ROB_3_A_N,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
EB_ROB_1_A_N,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
EB_DRUG_3_A_N,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
SJL_BOBOHAND_05,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
NDC_REDBALLOON,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	8,	8
GD_BRIEFCASE_RED,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
GD_BRIEFCASE_BLUE,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
GD_BRIEFCASE_BROWN,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
PMOFFIDOOR,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
DR_LIFESAVER,	250.0,	150.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
EB_PROS_1_A_N,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
EB_PROS_3_A_N,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
GD_SAFEDOOR,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
NDC_KOCKWHEEL,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
ME_LIFTDOOR,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	1,	0,	0
MPLAYCRATE,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
MPLAYCRATE_DOORB,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
MPLAYCRATE_DOORA,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
MEGADAMAGE,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
REGENERATOR,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
