# 
HFOST,	HMOST,	HFOTR,	HMOTR,	BMYCR,	BFOST,	BMOST,	BFOTR,	BMOTR,	BMYPI,	WMYCR,	WFYST,	WFOST,	WMOST,	WFOTR,	WMOTR
HFORI,	WFYRI,	WMOBU,	HMYRI,	HMORI,	WFYST,	WFYBU,	BMYRI,	WMYRI,	HFYBU,	WMORI,	WMYBU,	WFORI,	WFYJG,	BMYBU,	WFYST
HMORI,	HMOST,	BMYRI,	HFYPR,	BMYCR,	WFYST,	BFYRI,	BMYPI,	WMYCR,	WFYST,	WMYRI,	WFYPR,	WFOTR,	WMOTR,	WMYPI,	WMOBU
HMYST,	WFOST,	HMOST,	HMORI,	WMYBU,	BFYST,	BFOST,	BMYRI,	WFOST,	WFYST,	WMOBU,	WMYST,	WMOST,	WFYBU,	WMYBU,	WFYST
HFOST,	HFYST,	HMOST,	WMYST,	HMYST,	WMYCR,	WFYST,	WMOST,	HFYST,	HMYST,	WFOST,	WMYCR,	WMYST,	WFOST,	WFYST,	WMOST
BMODK,	HMOTR,	BMODK,	BMOTR,	BMODK,	WMYCW,	WMOST,	WFOTR,	BMODK,	HMOTR,	BMYCR,	BFOTR,	BMODK,	WMYCW,	BMODK,	WMOTR
HFYPR,	BMODK,	HFOTR,	BMODK,	HMOTR,	BMODK,	BFYPR,	WMOST,	BFOTR,	BMYCR,	BFYPR,	BMODK,	HFYPR,	BMODK,	BMOTR,	BMODK
HFOTR,	WMYCW,	HMOTR,	WMYCW,	WFOTR,	WMYCW,	HFOTR,	WMYCW,	HMOTR,	WMYCW,	WFOTR,	WMYCW,	WMOTR,	WMYCW,	WMOTR,	WMYCW
HMOTR,	WMOTR,	HMOTR,	WMOTR,	HMOTR,	WMOTR,	HMOTR,	WMOTR,	HMOTR,	WMOTR,	HMOTR,	WMOTR,	HMOTR,	WMOTR,	HMOTR,	WMOTR
HMYRI,	HMORI,	HFYBE,	BFYRI,	BFORI,	BMYRI,	BFYBE,	WFYRI,	WFORI,	WMYRI,	WFYBE,	WMYBE,	WFYJG,	WMYJG,	JFOTO,	JMOTO
HFYST,	HFOST,	WMYCR,	WMOST,	HMYST,	HFYRI,	WMORI,	HMYRI,	WMYCR,	BMYRI,	WMYST,	WMOST,	WFYRI,	WMYRI,	WFORI,	WMORI
HFYBE,	HMYBE,	BFYBE,	WFYRI,	BMYBE,	WMORI,	WFYBE,	WMYBE,	HFYBE,	HMYBE,	WFORI,	WMYRI,	BMYBE,	WFYBE,	BFYBE,	WMYBE
HMORI,	WFYST,	WFYRI,	WFORI,	WMYRI,	WMORI,	WMYBU,	WMOBU,	HMORI,	WFYST,	WFYRI,	WFORI,	WMYRI,	WMORI,	WMYBU,	WMOBU
HFOST,	BMODK,	BFYST,	BMYST,	BFOST,	BMOST,	WMYST,	HMYAP,	WMOST,	HFOST,	HMOST,	BMODK,	HMYAP,	BFOST,	BMOST,	WMYCW
HFYST,	BMODK,	HFOST,	HMYST,	BMYST,	HMYAP,	HMYST,	WMYCW,	WMOST,	HMOST,	HFOTR,	HMYAP,	BFYST,	BMODK,	BMYST,	WMYCW
HFORI,	HMYRI,	HMORI,	HFYBU,	BFYRI,	BFORI,	BMYRI,	BFYBE,	BMYBU,	WFYRI,	WFORI,	WMYRI,	WMORI,	WFYBU,	WMYBU,	WMOBU
BFYRI,	BMYBU,	BMYCR,	BMYRI,	HFYRI,	HMYRI,	WMYCR,	WFYRI,	WMYBU,	WMYRI,	BMYCR,	BMYRI,	WFYRI,	WMYCR,	WMYRI,	WMYBU
HFORI,	HMYRI,	HMORI,	BFYRI,	BFORI,	BMYRI,	WFYRI,	WFORI,	WMYRI,	WMORI,	WFYBE,	WMYBE,	WFOBE,	WMOBE,	WFYJG,	WMYJG
HFYRI,	HFORI,	HMYRI,	HMYRI,	HMORI,	HFYPR,	HFYPR,	BMYCR,	BFYPR,	BFYPR,	WMYRI,	WMORI,	WMORI,	WFYPR,	WFYPR,	WMYPI
BFORI,	BFYRI,	WMYRI,	BMYRI,	HFORI,	HFYBE,	HMORI,	HMYRI,	WFORI,	WFYBE,	WFYRI,	WMORI,	WMYRI,	HFYBE,	WFYRI,	WFYBE
HFYRI,	WFORI,	WMORI,	HFYRI,	HMYRI,	HMYRI,	WMYRI,	HFORI,	HMORI,	HFORI,	WFYRI,	HMORI,	WFYRI,	WFORI,	WMYRI,	WMORI
BFORI,	BFOST,	BFYRI,	BFYST,	BMYST,	WFYSH,	HFOST,	HFYRI,	HFYST,	HMYST,	WFORI,	WFOST,	WFYRI,	WFYSH,	WFYST,	WFOSH
BMYCR,	WMYCR,	BMYCR,	WMYCR,	BMYCR,	WMYCR,	BMYCR,	WMYCR,	BMYCR,	WMYCR,	BMYCR,	WMYCR,	BMYCR,	WMYCR,	BMYCR,	WMYCR
BFYRI,	BMYRI,	WFYSH,	WFOSH,	HFORI,	HFYRI,	HMORI,	WFOSH,	HMYRI,	WFORI,	WFYRI,	WFYSH,	WMORI,	WMYRI,	WFYSH,	WFOSH
WMYCR,	HMYST,	HMOST,	HFYST,	BMYCR,	BFYST,	BMYBB,	BMOST,	HFOST,	BFOST,	BFYST,	WMYCR,	HMYST,	HFYST,	BMYCR,	WFYST
WFYST,	WFYSH,	WFYBU,	HMYST,	HMYRI,	HMOTR,	WFOSH,	HMOST,	HFYST,	BMYST,	BMYCR,	BMOST,	BFYST,	BFOST,	WFYSH,	WFOSH
WFYPR,	HMYST,	HMOTR,	HMOST,	HFYPR,	HFOST,	BFYST,	WMOTR,	BMYPI,	BMYCR,	BMOTR,	BMOST,	BFYST,	BFYPR,	BFOTR,	WMOTR
WMOBU,	WFYSH,	WFOSH,	WFYRI,	WFYBU,	WFOSH,	WFYSH,	HMYST,	HMOTR,	WFOSH,	WFYSH,	HFYBU,	BMYST,	BMYRI,	WFYSH,	WFOSH
HFYST,	HMOST,	WMOBU,	HFYPR,	BFYST,	BFOST,	WFYST,	BFYPR,	BMYBB,	WMOST,	WMYST,	HFYPR,	WFYST,	BFYPR,	BMYBB,	BMYBU
WMYBU,	WMORI,	WFYRI,	WFYBU,	HMYST,	WFYST,	WFYST,	HMORI,	HFYST,	HFYRI,	HFYBU,	BMYST,	BMYCR,	BMYBU,	BFORI,	WFYSH
WMYST,	WMYPI,	WFYST,	BMYBB,	WFYPR,	BMYPI,	HMYST,	BFOTR,	HFYST,	BMOTR,	HFOST,	BMYBB,	WFYST,	WMYCR,	BFOST,	WMOST
WMOGO,	WFOGO,	WMOGO,	WFOGO,	WMOGO,	WFOGO,	WMOGO,	WFOGO,	WMOGO,	WFOGO,	WMOGO,	WFOGO,	WMOGO,	WFOGO,	WMOGO,	WFOGO
BFOTR,	BMYCR,	BFOTR,	WMYCR,	BFOTR,	BMYCR,	BFOTR,	WMYCR,	BFOTR,	BMYCR,	BFOTR,	WMYCR,	BFOTR,	BMYCR,	BFOTR,	WMYCR
WFOGO,	WMOGO,	WFOGO,	WMOGO,	WFOGO,	WMOGO,	WFOGO,	WMOGO,	WFOGO,	WMOGO,	WFOGO,	WMOGO,	WFOGO,	WMOGO,	WFOGO,	WMOGO
BFOTR,	WMYCR,	BFOTR,	WMYCR,	BFOTR,	WMYCR,	BFOTR,	WMYCR,	BFOTR,	WMYCR,	BFOTR,	WMYCR,	BFOTR,	WMYCR,	BFOTR,	WMYCR
WMYSK,	WFYBE,	WMYLG,	BMYBE,	HFYBE,	WMYJG,	WMYBE,	WFYSK,	HMOBE,	WFYLG,	WMOBE,	WFYJG,	HFOBE,	BMOBE,	BFOBE,	HMYBE
HFYST,	HMYST,	JFOTO,	JMOTO,	HFYMD,	BMYST,	BMYCR,	BMYRI,	BFOTR,	BMOTR,	BMYBB,	WFYST,	WMYST,	WMYJG,	WFOTR,	WMOTR
WMYBE,	WMOBE,	WFYLG,	HFYBE,	HFOBE,	BMYBE,	HMYBE,	WFYJG,	WFYBE,	WFOBE,	HMOBE,	BMOBE,	BFYBE,	WMYLG,	BFOBE,	WFYSK
HFYST,	HMYST,	WMYST,	JFOTO,	JMOTO,	HMOTR,	BMYST,	BFOTR,	BMOTR,	BMYBB,	WFYST,	BMYCR,	WMORI,	WFOTR,	WMOTR,	HFOTR
HFYBE,	HMYBE,	BFYBE,	BMYBE,	BFOBE,	WFYBE,	WMYBE,	WFOBE,	WFYLG,	WMYLG,	WFYJG,	WMYJG,	WFYSK,	WMYSK,	JFOTO,	JMOTO
WMYRI,	WMORI,	HMYRI,	WFOTR,	HMOTR,	HMYST,	WMOTR,	HFOTR,	BMYST,	BMOTR,	BFYST,	BFOTR,	WFOTR,	HMOTR,	HFOTR,	WMOTR
HMYAP,	HMYAP,	HMYAP,	HMYAP,	HMYAP,	HMYAP,	HMYAP,	HMYAP,	HMYAP,	HMYAP,	HMYAP,	HMYAP,	HMYAP,	HMYAP,	HMYAP,	HMYAP
HMYAP,	HMYAP,	HMYAP,	HMYAP,	HMYAP,	HMYAP,	HMYAP,	HMYAP,	HMYAP,	HMYAP,	HMYAP,	HMYAP,	HMYAP,	HMYAP,	HMYAP,	HMYAP
WMYRI,	WMORI,	WFYRI,	WFORI,	BMYRI,	JFOTO,	HMYRI,	WMYRI,	HMYAP,	HMORI,	WFYRI,	HFYST,	WFORI,	BFYRI,	BFORI,	JMOTO
WMYRI,	WMORI,	HMYAP,	JFOTO,	HMYST,	WFYRI,	WFORI,	HMYRI,	HMYAP,	HMOST,	HFOST,	BMYST,	BFYST,	BFYRI,	HMYAP,	JMOTO
WMYSK,	WMYJG,	BMYBE,	WFYSK,	BMOBE,	WFYJG,	WFYBE,	JFOTO,	HMYBE,	HFYBU,	HFYBE,	BMYBE,	BMOBE,	BFYBE,	BFOBE,	JMOTO
HFYST,	HMYST,	HFYRI,	HMYRI,	HMORI,	HFYPR,	BFYST,	BMYST,	BFYRI,	BMYRI,	WFYST,	WMYST,	WFYRI,	WMYRI,	WFYPR,	WMYPI
WMYST,	WMYRI,	WMOST,	HFYST,	WFYST,	WFORI,	HMYST,	HMYST,	HMYRI,	HMORI,	HFORI,	HFYST,	BMYST,	BFYST,	BFOST,	WMORI
HFYPR,	WMORI,	HMYRI,	WFYPR,	BFYPR,	WMYRI,	HFYRI,	HFYPR,	WMORI,	HMYRI,	WFYPR,	BFYPR,	HMORI,	HFORI,	BMYCR,	WMYPI
HMYST,	HMYRI,	BMYST,	BFOTR,	HMOTR,	HMOST,	HFOTR,	BMYRI,	BMYPI,	BMYCR,	BMYST,	BMOTR,	BMOST,	BMODK,	BFOTR,	BMYBB
HFYPR,	BMOTR,	WMYPI,	BMYPI,	BFOTR,	BFYPR,	BMODK,	BMYST,	HFYPR,	BMOTR,	BMYPI,	BFOTR,	BFYPR,	BFOST,	BFYPR,	BMYBB
HMYST,	HMOTR,	HMOST,	HFYST,	HFOTR,	HFOST,	BFOST,	BMOST,	HMYST,	HMOTR,	HMOST,	HFYST,	HFOTR,	HFOST,	BFOST,	BMOST
HMOTR,	HMOST,	HFYPR,	WMYCR,	HFOTR,	HMYST,	HFYPR,	HFOST,	HMOTR,	HFYPR,	HMOST,	HFYST,	BFYPR,	HFOTR,	BFYPR,	BMYPI
HFYCG,	HFOBE,	HMOBE,	WMYJG,	HMYBE,	BFOBE,	BMOBE,	WFYBE,	WMYBE,	WMOBE,	WFYLG,	WMYLG,	WFYJG,	WFYSK,	WMYSK,	HFYBE
HFYST,	HMYST,	JFOTO,	JMOTO,	HFYCG,	BMYST,	BFYRI,	BMYRI,	WFYPR,	BMOTR,	HFYMD,	WFYST,	WMYST,	WFYRI,	WFOTR,	WMOTR
HFYCG,	HFOBE,	HMOBE,	WMYJG,	HMYBE,	BFOBE,	BMOBE,	WFYBE,	WMYBE,	WMOBE,	WFYLG,	WMYLG,	WFYJG,	WFYSK,	WMYSK,	HFYBE
HFYST,	HMYST,	JFOTO,	JMOTO,	HFYCG,	BMYST,	BFYRI,	BMYRI,	WFYPR,	BMOTR,	HFYMD,	WFYST,	WMYST,	WFYRI,	WFOTR,	WMOTR
JFOTO,	JMOTO,	HFYST,	HFORI,	HMYRI,	HMOBE,	HFYMD,	BMYCR,	BFYST,	BFOST,	BMYRI,	WMYRI,	BMYBB,	WMOST,	WMOBE,	WMORI
JFOTO,	JMOTO,	HFYPR,	BMYST,	HMYRI,	BMYRI,	BMYBU,	BMYPI,	BMYBB,	WMYCR,	WFYST,	WMYST,	BMYCR,	HFYMD,	WMYRI,	JMOTO
HFOST,	COKHED,	FLMCRW,	HFYST,	HMYRI,	BMYRI,	WFYST,	FLMCRW,	WFOST,	WMOST,	WMYST,	WFYRI,	FLMCRW,	WMYRI,	JFOTO,	JMOTO
HFYBU,	BMYCR,	FLMCRW,	WMYCR,	WFYST,	BMYRI,	WMOST,	FLMCRW,	WMORI,	HFOST,	WMYRI,	COKHED,	WMYST,	BFOST,	WFOTR,	FLMCRW
